29,31,21,37,20,16,28,16,14,19,24,27,38,13,41,33,23,16,32,6,29,33,3,38,27,13,17,16,14,34,27,33,
29,30,25,6,23,13,35,0,17,11,27,24,26,17,17,20,21,31,7,26,33,34,25,48,33,30,20,17,35,36,17,35,
24,9,16,25,17,14,30,24,24,10,6,26,19,17,28,13,31,19,21,43,0,26,28,31,17,30,24,34,30,28,21,41,
21,24,24,27,42,30,28,36,27,21,14,7,14,24,0,40,27,17,34,30,28,21,37,20,17,27,23,7,19,17,14,28,
26,17,20,27,17,19,33,22,25,22,17,45,25,22,19,27,21,18,27,19,42,47,20,9,10,17,20,44,38,20,25,31,
28,22,20,23,31,13,38,11,3,31,34,11,24,14,6,34,34,28,37,14,34,24,35,29,20,23,31,34,14,17,3,25,
13,54,3,27,10,24,30,28,41,17,19,28,22,33,5,31,3,38,30,18,13,10,24,21,31,34,34,31,38,22,15,10,
44,6,33,22,19,13,11,26,27,24,7,31,10,17,27,36,20,16,17,20,30,45,27,25,30,16,24,6,31,34,41,16,
6,9,9,17,16,23,27,24,7,13,31,17,28,16,27,29,10,22,45,17,19,29,3,45,21,23,17,23,16,16,7,45,
29,20,34,10,30,13,0,17,41,14,10,31,25,0,29,40,24,17,27,21,41,15,10,13,30,10,22,13,31,34,16,13,
32,13,23,13,9,19,37,41,10,30,16,14,36,33,31,6,38,31,21,14,7,13,10,33,13,36,10,41,21,14,13,28,
28,36,26,34,10,16,15,17,27,17,9,20,31,0,27,29,33,18,33,22,41,22,30,17,7,37,17,15,19,20,23,
30,9,22,14,10,28,36,27,20,0,20,33,13,9,48,30,9,29,21,22,24,21,37,10,38,26,23,27,33,20,45,30,
23,34,28,17,27,21,6,30,16,13,19,24,31,12,30,14,31,15,10,13,31,31,30,9,0,16,14,17,9,10,20,17,
27,17,20,22,24,22,16,10,34,30,23,33,21,32,6,21,26,16,20,29,41,21,41,25,24,10,36,13,17,14,56,
20,3,20,16,20,19,28,24,3,34,10,50,23,20,31,34,3,29,15,29,7,23,13,34,10,18,29,51,25,22,10,37,
14,26,28,24,51,26,30,37,11,26,22,7,17,31,28,25,16,13,16,21,27,24,17,41,38,30,24,33,30,20,10,
27,32,35
